序号,问题,是否区分产品/产品名称,人员,相关问题（多个词条用中文分号；连接）,类型,标签/关键词/同义词（多个词条用中文分号；连接）,答案,相关链接,可见性/访问权限
81,什么是HI基因，什么是TS基因？,CNV-seq,,HI基因和TS基因定义是什么？,解读规则,IH；TS；单倍剂量敏感；三倍剂量敏感,"单倍剂量不足（haploinsufficient; HI）：基因的两个等位基因中的一个发生缺失或功能丧失时，另一个等位基因正常表达产生的蛋白质或基因产物不足以维持正常生理功能。
三倍剂量敏感（triplosensitivity; TS）：基因的拷贝数增加后，过表达的蛋白或基因产物会导致生理功能异常。",,公开
82,如何判定区域内有HI基因、TS基因？,CNV-seq,,如何查询区域内是否有HI和TS基因？,解读规则,IH；TS；单倍剂量敏感；三倍剂量敏感,HI基因/基因组采用ClinGen剂量敏感网站中的结果。,,公开
83,若待评缺失的CNV与已知HI基因组区域没有完全重叠，如何处理？,CNV-seq,,缺失型CNV只部分覆盖已知的HI基因组区域，如何处理？,解读规则,HI基因；打断,若待评CNV与已知HI区域的重叠区域占已知HI区域的80%及以上，并且待评CNV与已知HI区域的蛋白编码基因一致时，可使用2A项加分,,公开
84,若待评估缺失的CNV与HI基因没有完全重叠，如何处理？,CNV-seq,,缺失型CNV只部分覆盖已知的HI基因，如何处理？,解读规则,HI基因；打断,"若待评估的CNV与HI基因部分重叠，则根据以下重叠情况进行不同证据项的判断。
1、部分覆盖一个已知的HI基因组区域
2、覆盖HI基因的5'UTR(不包括3'UTR）
3、覆盖HI基因的3'UTR(不包括5'UTR）
4、CNV两端断点均在同一基因内部（基因内CNV；基因水平序列变异）",,公开
85,若待评估缺失的CNV仅覆盖HI基因的5'UTR ，如何使用证据项？,CNV-seq,,,解读规则,HI基因；5'UTR,"1、无文献等记录该区域与疾病相关为0分。
2、有文献中记录5'UTR区域与疾病相关，加0.45分。
3、文献要求：文献报道的变异为覆盖5'UTR区域的缺失突变（与5'UTR区域部分覆盖即可），其他类型不可用（如点突变）。",,公开
86,若待评估缺失的CNV仅覆盖HI基因最后一个外显子区域，如何进行打分？,CNV-seq,,,解读规则,HI基因；最后一个外显子,若最后一个外显子不编码蛋白则给0分；若最后一个外显子编码蛋白，待评CNV与HI基因覆盖的区域无任何突变类型的文献报道可加0.30分；若最后一个外显子编码蛋白，待评CNV与HI基因覆盖的区域有任何突变类型的文献报道即可加0.90分。,,公开
87,若待评估缺失的CNV仅覆盖HI基因除了最后一个外显子区域，还包括其他外显子区域，如何进行打分？,CNV-seq,,,解读规则,HI基因；部分覆盖,"1、待评CNV与HI基因覆盖的区域有任何突变类型的文献报道即可加0.90分；
2、覆盖区域无文献报道的时候，待评CNV与HI基因覆盖的区域在HI基因最后一个外显子和倒数第二个外显子3’端50bp以内，一般认为不会引起无义介导的mRNA降解（NMD），此时加0.45分；
3、待评CNV与HI基因覆盖的区域还包含HI基因倒数第二个外显子3’端50bp之前的区域，一般认为会引起NMD，此时加0.9分。",,公开
88,什么是NMD？,CNV-seq,,LOF突变造成的NMD是什么？,解读规则,LOF；NMD,NMD(Nonsense-mediated mRNA decay) ：即无义介导的mRNA降解。是一种存在于所有真核生物中的遗传纠错 机制，这一机制通过降解含有提前终止密码子(PTC)的异常mRNA转录本以减少基因表达上的错误。,,公开
89,待评估缺失/重复CNV两端断点均在同HI一基因内部（基因内CNV；基因水平序列变异），如何进行打分？,CNV-seq,,,解读规则,HI基因打断,"1、需在http://autopvs1.genetics.bgi.com/网站中预测致病性等级，采用autoPVS1网站的第一次判断结果即可（即仅采用决策数的对应结果，无需再根据致病机制进行第二次判断）。
2、待评CNV两端断点均在某个基因同一内含子内部，若此内含子有缺失致病报道加0.45分，无文献报道加0分。
需要注意的是，若是CNV重复导致HI基因被打断，由于大部分CNV为假定的串联重复，按照PVS1解读指南，此处最高只能加0.45分。",,公开
90,如何判断CNV完全 在一个已知的良性CNV区域内部？,CNV-seq,,,解读规则,CNV；良性区域,"1、ClinGen网站评为40的区域为良性区域，良性区域与待评CNV重叠区域超过待评CNV的80%；并且待评CNV的非重叠区域不包含蛋白编码基因可使用2F。
2、特殊情况：如待评CNV非重叠区域内的编码基因均为ClinGen网站评为40的基因，或者待评CNV非重叠区域满足4O项（频率≥0.5%）也可用2F。",,公开
91,如何进行单倍剂量不足预测？,CNV-seq,,CNVseq 2H证据项参考哪些网站的值？,解读规则,HI预测,预测为 HI 的满足条件：ClinGen剂量敏感网站 中 HI≤10%， gnomAD网站pLI≥0.9，且同时满足 o/e 上限＜0.35。,,公开
92,什么样的文献case可以使用？,CNV-seq,,,解读规则,文献使用,"文献case使用需要注意：
1. 与待评 CNV 的重叠区域占数据库或文献报道的 CNV 区域的比例达 80%及以上；且数据库或文献 case 的非重叠区域不包含OMIM-Morbid 基因；
2. 使用数据库中的 case 时，要求为新发变异，并且有表型记录，并且不携带其他 CNV；
3. 基因全部缺失可使用相关烈性突变作为证据（如无义突变、移码突变、经典±1 或± 2 的剪接突变、起始密码子变异或单个或多个外显子缺失）；基因部分缺失，也可使用烈性突变（突变需位于缺失区域内部或下游区域）作为证据，原则上不可以使用基因全部缺失的案例。",,公开
93,新发突变case个数是否有上限？,CNV-seq,,CNV解读规则最多可以使用多少个新发突变case？,解读规则,de novo突变,新发突变最高累计加分上限为0.9分，对于case个数无上限限制。,,公开
94,新发突变case如何加分？,CNV-seq,,,解读规则,de novo突变,"1、表型特异且基因/基因组区域唯一（如骨骼发育不良、先心病、性发育畸形、无脑回畸形等先天异常）。明确新发加 0.45/case；推断新发加 0.3/case（未经生物学父母验证的案例均按照推断新发进行加分）
2、表型特异但基因/基因组区域不唯一（如耳聋、婴幼儿癫痫性脑病等）。明确新发加 0.3/case；推断新发加 0.15/case（未经生物学父母验证的案例均按照推断新发进行加分）
3、表型不特异且基因/基因组区域不唯一（如智力障碍、发育迟缓或自闭症等）。需要有两个新发 case 表型类似方可使用该证据项。明确新发加 0.15/case；推断新发加 0.1/case（未经生物学父母验证的案例均按照推断新发进行加分。）",,公开
95,什么样的case可以认为按照确定为新发突变处理？,CNV-seq,,什么样的case可以认为按照假定新发突变处理？,解读规则,de novo突变,父母生物学身份经过了验证的新发突变可以认为是确定新发突变。,,公开
96,什么样的家系共分离的患者可以使用？如何计算个数？,CNV-seq,,,解读规则,,"独立病例中家系共分离的case可以使用，计算家系共分离时受影响家系成员个数需要减去先证者本身，且计算在内的个体需要基因型阳性，表型阳性。具体分值区间：
受影响家系成员 3-4：0.15分
受影响家系成员 5-6：0.3分
受影响家系成员 7 或者更更多：0.45分。
对于家系共分离个数，不同家系的个数可以进行累加。",,公开
97,病例-对照和人群证据具体如何使用？,CNV-seq,,,解读规则,,要求研究患者群组的总人数≥10 个，此时 case 组或 control 相比p<0.05， OR 值＞5，且 95%置信区间下限大于 1，可视为有统计学差异。,,仅内部访问
98,如何使用4O：与常见的人群变异重叠证据？,CNV-seq,,人群频率数据库可以参考哪些数据库，如何进行分值计算？,解读规则,人群频率数据库,"DGV 金标准或 GnomAD 中有 CNV del 与待评 CNV 的重叠区域占待评 CNV 的 80%以上，并且待评 CNV 非重叠区域没有OMIM-Morbid 基因时，待评 CNV 可使用 DGV 金标准或GnomAD 中该 CNV del 频率进行 4O 判断。
2. 该 CNV del 在 DGV 金标准或 GnomAD 中的频率≥1%时，待评 CNV 减 1 分； 0.5%≤频率＜1%时减 0.9 分； 0.1%≤频率＜0.5%时减 0.45 分； 0.01%≤频率＜0.1%时减 0.3 分；频率＜0.01%减 0.15 分。以上要求 DGV 金标准或 GnomAD 记录人群数超过 1000 人方可使用。最终得分以 DGV 和 GnomAD 频率高的为准。
3. 注意：如 CNV 相关疾病涉及外显不全，则不适用 4O 减分。
4. 说明： DGV 以 Inner 区域为准。",,仅内部访问
99,CNVseq双胎样本解读需要注意什么？,CNV-seq,,,解读规则,CNVseq；双胎,"1、需要核实双胎都报出的CNV变异是否一致：比如变异大小相差超过了100kb，或者注释结果不一致需要让生信复核数据；
2、CNV只在其中一个胎儿中检出，在另一胎儿中虽有没有报出但是复核散点图上是有的，需要和生信核实两个胎儿处理逻辑
宗旨：双胎样本数据互相参考，同样CNV报出和结果说明一致",,公开
100,CNVseq家系样本解读需要注意什么？,CNV-seq,,,解读规则,CNVseq；家系样本,"1、需要核实父母和胎儿相同报出的CNV变异是否一致：比如变异大小相差超过了100kb，或者注释结果不一致需要让生信复核数据；
2、胎儿检出的CNV在父母样本中没有检出，需要复核父母散点图，若散点图提示父母一方实际检出了和胎儿一致的CNV，需要和生信复核数据
宗旨：家系样本数据互相参考，同样CNV报出和结果说明一致",,公开
101,CNVseq报告规则是什么？,CNV-seq,,,报告规则,,CNV报告分为正式报告和补充报告。正式报告包括主要检测结果、次要检测结果。主要检测结果展示非整倍体或符合性染色体连锁遗传及常染色体显性遗传方式的致病、 疑似致病变异，次要检测结果展示临床意义未明的 100Kb 以上的微缺失/微重复变异。 原则上不报告良性及疑似良性的拷贝数变异。补充报告主要包括：需要报出的嵌合比例≤ 10%的染色体非整倍性嵌合体以及嵌合比例≤30%且长度超过 5Mb 的 CNV 嵌合体。,,公开
102,CNVseq产前样本和产后样本有哪些差异？,CNV-seq,,,报告规则,,1、年龄产前的有孕周信息 2、产前样本Y染色体的VUS不提报 3、核型图：产前的只有检测到Y的致病性变异核型图才有Y染色体图展示，产后样本核型图都有Y染色体,,公开
103,X染色体的CNV，是否需要根据受检者的性别调整致病性？,CNV-seq,,,解读规则,,X染色体上面的CNV，致病性判定和受检者性别没有关系。,,公开
104,case-control证据使用时对样本量有要求吗？,CNV-seq,,,解读规则,,要求研究患者群组的总人数至少≥10 个,,公开
105,case-control证据使用时，OR值及95%CI值如何计算,CNV-seq,,,解读规则,,"OR值：即比值比，是“病例-对照”研究的一个常用指标，主要指病例组中携带变异人数与不携带变异人数的比值除以对照组中携带变异人数与不携带变异人数的比值；
置信区间CI：95%CI[a b]指OR总体均值在a到b区间内的概率是95%，包括1.0则表示关联的可信度很小；
计算OR值及CI值网站：
1） https://www.easycalculation.com/statistics/odds-ratio.php？
2） http://www.hutchon.net/ConfidOR.htm
3） https://www.medcalc.org/calc/odds ratio.php",,公开
106,核型结果和CNV结果不一致有哪些原因？,,,,遗传咨询,,核型与芯片结果的不一致可能有2个方面的原因：一个可能是嵌合和组织特异性的影响，使得核型所取细胞和CNV样本来源不一样；另一个原因是核型是需要做细胞培养后才能检测的，培养过程中可能异常的或者正常细胞生长优势不一致，导致不同检测方法结果不一致。,,公开
